,j_d,g_d,h_d,events,event,calender_type
1573,"(1401, 6, 4)",2022-08-26,"(1444, 1, 28)",روز کارمند,روز کارمند,j
1574,"(1401, 6, 5)",2022-08-27,"(1444, 1, 29)",روز بزرگداشت محمدبن زکریای رازی و روز داروساز,روز بزرگداشت محمدبن زکریای رازی و روز داروساز,j
1575,"(1401, 6, 8)",2022-08-30,"(1444, 2, 3)",انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,j
1576,"(1401, 6, 11)",2022-09-02,"(1444, 2, 6)",روزصنعت چاپ,روزصنعت چاپ,j
1577,"(1401, 6, 13)",2022-09-04,"(1444, 2, 8)",روز بزرگداشت ابوریحان بیرونی,روز بزرگداشت ابوریحان بیرونی,j
1578,"(1401, 6, 13)",2022-09-04,"(1444, 2, 8)",روز تعاون,روز تعاون,j
1579,"(1401, 6, 17)",2022-09-08,"(1444, 2, 12)",قیام ۱۷,قیام ۱۷,j
1580,"(1401, 6, 19)",2022-09-10,"(1444, 2, 14)",درگذشت آیت الله سید محمود طالقانی,درگذشت آیت الله سید محمود طالقانی,j
1581,"(1401, 6, 19)",2022-09-10,"(1444, 2, 14)",روز جهانی پیشگیری از خودکشی [۱۰ september],روز جهانی پیشگیری از خودکشی,g
1582,"(1401, 6, 20)",2022-09-11,"(1444, 2, 15)",حمله به برج‌های دوقلوی مرکز تجارت جهانی [۱۱ september],حمله به برج‌های دوقلوی مرکز تجارت جهانی,g
1583,"(1401, 6, 21)",2022-09-12,"(1444, 2, 16)",روز سینما,روز سینما,j
1584,"(1401, 6, 21)",2022-09-12,"(1444, 2, 16)",روز گرامیداشت برنامه نویسان [۱۲ september],روز گرامیداشت برنامه نویسان,g
1585,"(1401, 6, 25)",2022-09-16,"(1444, 2, 20)",اربعین حسینی [٢٠ صفر],اربعین حسینی,h
1586,"(1401, 6, 27)",2022-09-18,"(1444, 2, 22)",روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار,روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار,j
1587,"(1401, 6, 30)",2022-09-21,"(1444, 2, 25)",روز گفتگوی تمدنها,روز گفتگوی تمدنها,j
1588,"(1401, 6, 30)",2022-09-21,"(1444, 2, 25)",روز جهانی صلح [۲۱ september],روز جهانی صلح,g
1589,"(1401, 6, 31)",2022-09-22,"(1444, 2, 26)",آغاز هفته دفاع مقدس,آغاز هفته دفاع مقدس,j
1590,"(1402, 12, 2)",2024-02-21,"(1445, 8, 11)",ولادت علی اکبر علیه السلام و روز جوان [١١ شعبان],ولادت علی اکبر علیه السلام و روز جوان,h
1591,"(1402, 12, 2)",2024-02-21,"(1445, 8, 11)",روز جهانی زبان مادری [۲۱ february],روز جهانی زبان مادری,g
1592,"(1402, 12, 5)",2024-02-24,"(1445, 8, 14)",روز بزرگداشت زمین و بانوان,روز بزرگداشت زمین و بانوان,j
1593,"(1402, 12, 5)",2024-02-24,"(1445, 8, 14)",روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,j
1594,"(1402, 12, 6)",2024-02-25,"(1445, 8, 15)",ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [١٥ شعبان],ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,h
1595,"(1402, 12, 7)",2024-02-26,"(1445, 8, 16)",سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,j
1596,"(1402, 12, 7)",2024-02-26,"(1445, 8, 16)",سالروز درگذشت علی اکبر دهخدا,سالروز درگذشت علی اکبر دهخدا,j
1597,"(1402, 12, 15)",2024-03-05,"(1445, 8, 24)",روز درختکاری,روز درختکاری,j
1598,"(1402, 12, 18)",2024-03-08,"(1445, 8, 27)",روزجهانی زنان [۸ march],روزجهانی زنان,g
1599,"(1402, 12, 25)",2024-03-15,"(1445, 9, 5)",پایان سرایش شاهنامه,پایان سرایش شاهنامه,j
1600,"(1402, 12, 29)",2024-03-19,"(1445, 9, 9)",روز ملی شدن صنعت نفت ایران,روز ملی شدن صنعت نفت ایران,j
1601,"(1402, 11, 1)",2024-01-21,"(1445, 7, 9)",زادروز فردوسی,زادروز فردوسی,j
1602,"(1402, 11, 2)",2024-01-22,"(1445, 7, 10)",روز، جشن بهمنگان,روز، جشن بهمنگان,j
1603,"(1402, 11, 2)",2024-01-22,"(1445, 7, 10)",ولادت امام محمد تقی علیه السلام [١٠ رجب],ولادت امام محمد تقی علیه السلام,h
1604,"(1402, 11, 5)",2024-01-25,"(1445, 7, 13)",جشن نوسره,جشن نوسره,j
1605,"(1402, 11, 5)",2024-01-25,"(1445, 7, 13)",ولادت امام علی علیه السلام و روز پدر [١٣ رجب],ولادت امام علی علیه السلام و روز پدر,h
1606,"(1402, 11, 7)",2024-01-27,"(1445, 7, 15)",وفات حضرت زینب سلام الله علیها [١٥ رجب],وفات حضرت زینب سلام الله علیها,h
1607,"(1402, 11, 10)",2024-01-30,"(1445, 7, 18)",جشن سده,جشن سده,j
1608,"(1402, 11, 12)",2024-02-01,"(1445, 7, 20)",بازگشت امام خمینی (ره) به ایران,بازگشت امام خمینی (ره) به ایران,j
1609,"(1402, 11, 15)",2024-02-04,"(1445, 7, 23)",جشن میانه زمستان,جشن میانه زمستان,j
1610,"(1402, 11, 17)",2024-02-06,"(1445, 7, 25)",شهادت امام موسی کاظم علیه السلام [٢٥ رجب],شهادت امام موسی کاظم علیه السلام,h
1611,"(1402, 11, 19)",2024-02-08,"(1445, 7, 27)",روز نیروی هوایی,روز نیروی هوایی,j
1612,"(1402, 11, 19)",2024-02-08,"(1445, 7, 27)",مبعث رسول اکرم [٢٧ رجب],مبعث رسول اکرم,h
1613,"(1402, 11, 22)",2024-02-11,"(1445, 8, 1)",پیروزی انقلاب اسلامی,پیروزی انقلاب اسلامی,j
1614,"(1402, 11, 22)",2024-02-11,"(1445, 8, 1)",حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران [۱۱ february],حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران,g
1615,"(1402, 11, 23)",2024-02-12,"(1445, 8, 2)",زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی [۱۲ february],زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی,g
1616,"(1402, 11, 24)",2024-02-13,"(1445, 8, 3)",ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار [٣ شعبان],ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار,h
1617,"(1402, 11, 25)",2024-02-14,"(1445, 8, 4)",ولادت ابوالفضل العباس علیه السلام و روز جانباز [٤ شعبان],ولادت ابوالفضل العباس علیه السلام و روز جانباز,h
1618,"(1402, 11, 25)",2024-02-14,"(1445, 8, 4)",روز ولنتاین [۱۴ february],روز ولنتاین,g
1619,"(1402, 11, 26)",2024-02-15,"(1445, 8, 5)",ولادت امام زین العابدین علیه السلام [٥ شعبان],ولادت امام زین العابدین علیه السلام,h
1620,"(1402, 11, 29)",2024-02-18,"(1445, 8, 8)",جشن سپندارمذگان و روز عشق,جشن سپندارمذگان و روز عشق,j
1621,"(1402, 10, 1)",2023-12-22,"(1445, 6, 9)",روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,j
1622,"(1402, 10, 4)",2023-12-25,"(1445, 6, 12)",جشن کریسمس [۲۵ december],جشن کریسمس,g
1623,"(1402, 10, 5)",2023-12-26,"(1445, 6, 13)",سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,j
1624,"(1402, 10, 5)",2023-12-26,"(1445, 6, 13)",سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,j
1625,"(1402, 10, 8)",2023-12-29,"(1445, 6, 16)",به روز، دومین جشن دیگان,به روز، دومین جشن دیگان,j
1626,"(1402, 10, 11)",2024-01-01,"(1445, 6, 19)",جشن آغاز سال نو میلادی [۱ january],جشن آغاز سال نو میلادی,g
1627,"(1402, 10, 12)",2024-01-02,"(1445, 6, 20)",ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر [٢٠ جمادی الثانیه],ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر,h
1628,"(1402, 10, 13)",2024-01-03,"(1445, 6, 21)",شهادت سردار حاج قاسم سلیمانی,شهادت سردار حاج قاسم سلیمانی,j
1629,"(1402, 10, 15)",2024-01-05,"(1445, 6, 23)",به روز، سومین جشن دیگان,به روز، سومین جشن دیگان,j
1630,"(1402, 10, 20)",2024-01-10,"(1445, 6, 28)",قتل امیرکبیر به دستور ناصرالدین شاه قاجار,قتل امیرکبیر به دستور ناصرالدین شاه قاجار,j
1631,"(1402, 10, 23)",2024-01-13,"(1445, 7, 1)",به دین روز، چهارمین جشن دیگان,به دین روز، چهارمین جشن دیگان,j
1632,"(1402, 10, 23)",2024-01-13,"(1445, 7, 1)",ولادت امام محمد باقر علیه السلام [١ رجب],ولادت امام محمد باقر علیه السلام,h
1633,"(1402, 10, 25)",2024-01-15,"(1445, 7, 3)",شهادت امام علی النقی الهادی علیه السلام [٣ رجب],شهادت امام علی النقی الهادی علیه السلام,h
1634,"(1402, 9, 1)",2023-11-22,"(1445, 5, 8)",جشن,جشن,j
1635,"(1402, 9, 4)",2023-11-25,"(1445, 5, 11)",روز جهانی مبارزه با خشونت علیه زنان [۲۵ november],روز جهانی مبارزه با خشونت علیه زنان,g
1636,"(1402, 9, 5)",2023-11-26,"(1445, 5, 12)",روز بسیج مستضعفان,روز بسیج مستضعفان,j
1637,"(1402, 9, 7)",2023-11-28,"(1445, 5, 14)",روز نیروی دریایی,روز نیروی دریایی,j
1638,"(1402, 9, 9)",2023-11-30,"(1445, 5, 16)",جشن آذرگان، روز,جشن آذرگان، روز,j
1639,"(1402, 9, 10)",2023-12-01,"(1445, 5, 17)",روز مجلس,روز مجلس,j
1640,"(1402, 9, 10)",2023-12-01,"(1445, 5, 17)",روز جهانی ایدز [۱ december],روز جهانی ایدز,g
1641,"(1402, 9, 12)",2023-12-03,"(1445, 5, 19)",روز جهانی معلولان [۳ december],روز جهانی معلولان,g
1642,"(1402, 9, 13)",2023-12-04,"(1445, 5, 20)",روز بیمه,روز بیمه,j
1643,"(1402, 9, 15)",2023-12-06,"(1445, 5, 22)",روز حسابدار,روز حسابدار,j
1644,"(1402, 9, 16)",2023-12-07,"(1445, 5, 23)",روز دانشجو,روز دانشجو,j
1645,"(1402, 9, 20)",2023-12-11,"(1445, 5, 27)",روز جهانی کوه نوردی [۱۱ december],روز جهانی کوه نوردی,g
1646,"(1402, 9, 25)",2023-12-16,"(1445, 6, 3)",روز پژوهش,روز پژوهش,j
1647,"(1402, 9, 25)",2023-12-16,"(1445, 6, 3)",شهادت حضرت فاطمه زهرا سلام الله علیها [٣ جمادی الثانیه],شهادت حضرت فاطمه زهرا سلام الله علیها,h
1648,"(1402, 9, 26)",2023-12-17,"(1445, 6, 4)",روز حمل و نقل,روز حمل و نقل,j
1649,"(1402, 9, 30)",2023-12-21,"(1445, 6, 8)",جشن شب یلدا,جشن شب یلدا,j
1650,"(1402, 8, 1)",2023-10-23,"(1445, 4, 8)",روز آمار و برنامه ریزی,روز آمار و برنامه ریزی,j
1651,"(1402, 8, 1)",2023-10-23,"(1445, 4, 8)",ولادت امام حسن عسکری علیه السلام [٨ ربیع الثانی],ولادت امام حسن عسکری علیه السلام,h
1652,"(1402, 8, 3)",2023-10-25,"(1445, 4, 10)",وفات حضرت معصومه سلام الله علیها [١٠ ربیع الثانی],وفات حضرت معصومه سلام الله علیها,h
1653,"(1402, 8, 7)",2023-10-29,"(1445, 4, 14)",سالروز ورود کوروش بزرگ به بابل در سال ۵۳۹ پیش از میلاد,سالروز ورود کوروش بزرگ به بابل در سال ۵۳۹ پیش از میلاد,j
1654,"(1402, 8, 8)",2023-10-30,"(1445, 4, 15)",روز نوجوان,روز نوجوان,j
1655,"(1402, 8, 10)",2023-11-01,"(1445, 4, 17)",روز، جشن آبانگان,روز، جشن آبانگان,j
1656,"(1402, 8, 13)",2023-11-04,"(1445, 4, 20)",روز دانش آموز,روز دانش آموز,j
1657,"(1402, 8, 14)",2023-11-05,"(1445, 4, 21)",روز فرهنگ عمومی,روز فرهنگ عمومی,j
1658,"(1402, 8, 15)",2023-11-06,"(1445, 4, 22)",جشن میانه پاییز,جشن میانه پاییز,j
1659,"(1402, 8, 18)",2023-11-09,"(1445, 4, 25)",روز ملی کیفیت,روز ملی کیفیت,j
1660,"(1402, 8, 23)",2023-11-14,"(1445, 4, 30)",روز جهانی دیابت [۱۴ november],روز جهانی دیابت,g
1661,"(1402, 8, 24)",2023-11-15,"(1445, 5, 1)",روز کتاب و کتابخوانی,روز کتاب و کتابخوانی,j
1662,"(1402, 8, 28)",2023-11-19,"(1445, 5, 5)",ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز [٥ جمادی الاولی],ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز,h
1663,"(1402, 8, 28)",2023-11-19,"(1445, 5, 5)",روز جهانی فلسفه [۱۹ november],روز جهانی فلسفه,g
1664,"(1402, 8, 28)",2023-11-19,"(1445, 5, 5)",روز جهانی آقایان [۱۹ november],روز جهانی آقایان,g
1665,"(1402, 8, 29)",2023-11-20,"(1445, 5, 6)",روز جهانی کودک [۲۰ november],روز جهانی کودک,g
1666,"(1402, 7, 1)",2023-09-23,"(1445, 3, 8)",شهادت امام حسن عسکری علیه السلام [٨ ربیع الاول],شهادت امام حسن عسکری علیه السلام,h
1667,"(1402, 7, 1)",2023-09-23,"(1445, 3, 8)",آغاز حمله مغول به ایران در پاییز ۵۹۸ خورشیدی,آغاز حمله مغول به ایران در پاییز ۵۹۸ خورشیدی,j
1668,"(1402, 7, 5)",2023-09-27,"(1445, 3, 12)",روز جهانی جهانگردی [۲۷ september],روز جهانی جهانگردی,g
1669,"(1402, 7, 5)",2023-09-27,"(1445, 3, 12)",میلاد رسول اکرم به روایت اهل سنت [١٢ ربیع الاول],میلاد رسول اکرم به روایت اهل سنت,h
1670,"(1402, 7, 7)",2023-09-29,"(1445, 3, 14)",روز آتش نشانی و ایمنی,روز آتش نشانی و ایمنی,j
1671,"(1402, 7, 7)",2023-09-29,"(1445, 3, 14)",سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال ۱۳۶۰,سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال ۱۳۶۰,j
1672,"(1402, 7, 8)",2023-09-30,"(1445, 3, 15)",روزبزرگداشت مولوی,روزبزرگداشت مولوی,j
1673,"(1402, 7, 8)",2023-09-30,"(1445, 3, 15)",روز جهانی ناشنوایان [۳۰ september],روز جهانی ناشنوایان,g
1674,"(1402, 7, 8)",2023-09-30,"(1445, 3, 15)",روز جهانی ترجمه و مترجم [۳۰ september],روز جهانی ترجمه و مترجم,g
1675,"(1402, 7, 9)",2023-10-01,"(1445, 3, 16)",روز جهانی سالمندان [۱ october],روز جهانی سالمندان,g
1676,"(1402, 7, 10)",2023-10-02,"(1445, 3, 17)",روز، جشن مهرگان,روز، جشن مهرگان,j
1677,"(1402, 7, 10)",2023-10-02,"(1445, 3, 17)",میلاد رسول اکرم و امام جعفر صادق علیه السلام [١٧ ربیع الاول],میلاد رسول اکرم و امام جعفر صادق علیه السلام,h
1678,"(1402, 7, 13)",2023-10-05,"(1445, 3, 20)",روز نیروی انتظامی,روز نیروی انتظامی,j
1679,"(1402, 7, 13)",2023-10-05,"(1445, 3, 20)",روز جهانی معلم [۵ october],روز جهانی معلم,g
1680,"(1402, 7, 14)",2023-10-06,"(1445, 3, 21)",روز دامپزشکی,روز دامپزشکی,j
1681,"(1402, 7, 16)",2023-10-08,"(1445, 3, 23)",روز ملی کودک,روز ملی کودک,j
1682,"(1402, 7, 17)",2023-10-09,"(1445, 3, 24)",روز جهانی پست [۹ october],روز جهانی پست,g
1683,"(1402, 7, 18)",2023-10-10,"(1445, 3, 25)",روز جهانی مبارزه با حکم اعدام [۱۰ october],روز جهانی مبارزه با حکم اعدام,g
1684,"(1402, 7, 19)",2023-10-11,"(1445, 3, 26)",روز جهانی دختر [۱۱ october],روز جهانی دختر,g
1685,"(1402, 7, 20)",2023-10-12,"(1445, 3, 27)",روز بزرگداشت حافظ,روز بزرگداشت حافظ,j
1686,"(1402, 7, 21)",2023-10-13,"(1445, 3, 28)",جشن پیروزی کاوه و فریدون,جشن پیروزی کاوه و فریدون,j
1687,"(1402, 7, 22)",2023-10-14,"(1445, 3, 29)",روز جهانی استاندارد [۱۴ october],روز جهانی استاندارد,g
1688,"(1402, 7, 23)",2023-10-15,"(1445, 3, 30)",روز جهانی عصای سفید [۱۵ october],روز جهانی عصای سفید,g
1689,"(1402, 7, 24)",2023-10-16,"(1445, 4, 1)",روز جهانی غذا [۱۶ october],روز جهانی غذا,g
1690,"(1402, 7, 25)",2023-10-17,"(1445, 4, 2)",روز جهانی ریشه کنی فقر [۱۷ october],روز جهانی ریشه کنی فقر,g
1691,"(1402, 7, 26)",2023-10-18,"(1445, 4, 3)",روز تربیت بدنی و ورزش,روز تربیت بدنی و ورزش,j
1692,"(1402, 7, 29)",2023-10-21,"(1445, 4, 6)",روز ملی کوهنورد,روز ملی کوهنورد,j
1693,"(1402, 6, 1)",2023-08-23,"(1445, 2, 7)",روز بزرگداشت ابوعلی سینا و روز پزشک,روز بزرگداشت ابوعلی سینا و روز پزشک,j
1694,"(1402, 6, 2)",2023-08-24,"(1445, 2, 8)",آغاز هفته دولت,آغاز هفته دولت,j
1695,"(1402, 6, 4)",2023-08-26,"(1445, 2, 10)",زادروز داراب (کوروش),زادروز داراب (کوروش),j
1696,"(1402, 6, 4)",2023-08-26,"(1445, 2, 10)",روز، جشن شهریورگان,روز، جشن شهریورگان,j
1697,"(1402, 6, 4)",2023-08-26,"(1445, 2, 10)",روز کارمند,روز کارمند,j
1698,"(1402, 6, 5)",2023-08-27,"(1445, 2, 11)",روز بزرگداشت محمدبن زکریای رازی و روز داروساز,روز بزرگداشت محمدبن زکریای رازی و روز داروساز,j
1699,"(1402, 6, 8)",2023-08-30,"(1445, 2, 14)",انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,j
1700,"(1402, 6, 11)",2023-09-02,"(1445, 2, 17)",روزصنعت چاپ,روزصنعت چاپ,j
1701,"(1402, 6, 13)",2023-09-04,"(1445, 2, 19)",روز بزرگداشت ابوریحان بیرونی,روز بزرگداشت ابوریحان بیرونی,j
1702,"(1402, 6, 13)",2023-09-04,"(1445, 2, 19)",روز تعاون,روز تعاون,j
1703,"(1402, 6, 14)",2023-09-05,"(1445, 2, 20)",اربعین حسینی [٢٠ صفر],اربعین حسینی,h
1704,"(1402, 6, 17)",2023-09-08,"(1445, 2, 23)",قیام ۱۷,قیام ۱۷,j
1705,"(1402, 6, 19)",2023-09-10,"(1445, 2, 25)",درگذشت آیت الله سید محمود طالقانی,درگذشت آیت الله سید محمود طالقانی,j
1706,"(1402, 6, 19)",2023-09-10,"(1445, 2, 25)",روز جهانی پیشگیری از خودکشی [۱۰ september],روز جهانی پیشگیری از خودکشی,g
1707,"(1402, 6, 20)",2023-09-11,"(1445, 2, 26)",حمله به برج‌های دوقلوی مرکز تجارت جهانی [۱۱ september],حمله به برج‌های دوقلوی مرکز تجارت جهانی,g
1708,"(1402, 6, 21)",2023-09-12,"(1445, 2, 27)",روز سینما,روز سینما,j
1709,"(1402, 6, 21)",2023-09-12,"(1445, 2, 27)",روز گرامیداشت برنامه نویسان [۱۲ september],روز گرامیداشت برنامه نویسان,g
1710,"(1402, 6, 22)",2023-09-13,"(1445, 2, 28)",رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام [٢٨ صفر],رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام,h
1711,"(1402, 6, 24)",2023-09-15,"(1445, 2, 30)",شهادت امام رضا علیه السلام [٣٠ صفر],شهادت امام رضا علیه السلام,h
1712,"(1402, 6, 25)",2023-09-16,"(1445, 3, 1)",هجرت پیامبر اکرم از مکه به مدینه [١ ربیع الاول],هجرت پیامبر اکرم از مکه به مدینه,h
1713,"(1402, 6, 27)",2023-09-18,"(1445, 3, 3)",روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار,روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار,j
1714,"(1402, 6, 30)",2023-09-21,"(1445, 3, 6)",روز گفتگوی تمدنها,روز گفتگوی تمدنها,j
1715,"(1402, 6, 30)",2023-09-21,"(1445, 3, 6)",روز جهانی صلح [۲۱ september],روز جهانی صلح,g
1716,"(1402, 6, 31)",2023-09-22,"(1445, 3, 7)",آغاز هفته دفاع مقدس,آغاز هفته دفاع مقدس,j
1717,"(1402, 5, 5)",2023-07-27,"(1445, 1, 9)",امرداد تاسوعای حسینی [٩ محرم],امرداد تاسوعای حسینی,h
1718,"(1402, 5, 6)",2023-07-28,"(1445, 1, 10)",امرداد روز ترویج آموزش‌های فنی و حرفه‌ای,امرداد روز ترویج آموزش‌های فنی و حرفه‌ای,j
1719,"(1402, 5, 6)",2023-07-28,"(1445, 1, 10)",امرداد عاشورای حسینی [١٠ محرم],امرداد عاشورای حسینی,h
1720,"(1402, 5, 7)",2023-07-29,"(1445, 1, 11)",امرداد روز، جشن مردادگان,امرداد روز، جشن مردادگان,j
1721,"(1402, 5, 8)",2023-07-30,"(1445, 1, 12)",امرداد روز بزرگداشت شیخ شهاب الدین سهروردی,امرداد روز بزرگداشت شیخ شهاب الدین سهروردی,j
1722,"(1402, 5, 8)",2023-07-30,"(1445, 1, 12)",امرداد شهادت امام زین العابدین علیه السلام [١٢ محرم],امرداد شهادت امام زین العابدین علیه السلام,h
1723,"(1402, 5, 10)",2023-08-01,"(1445, 1, 14)",امرداد جشن چله تابستان,امرداد جشن چله تابستان,j
1724,"(1402, 5, 10)",2023-08-01,"(1445, 1, 14)",امرداد آغاز هفته جهانی شیردهی [۱ august],امرداد آغاز هفته جهانی شیردهی,g
1725,"(1402, 5, 14)",2023-08-05,"(1445, 1, 18)",امرداد صدور فرمان مشروطیت,امرداد صدور فرمان مشروطیت,j
1726,"(1402, 5, 17)",2023-08-08,"(1445, 1, 21)",امرداد روز خبرنگار,امرداد روز خبرنگار,j
1727,"(1402, 5, 22)",2023-08-13,"(1445, 1, 26)",امرداد روز جهانی چپ دست‌ها [۱۳ august],امرداد روز جهانی چپ دست‌ها,g
1728,"(1402, 5, 26)",2023-08-17,"(1445, 2, 1)",امرداد سالروز ورود آزادگان سرافراز به وطن,امرداد سالروز ورود آزادگان سرافراز به وطن,j
1729,"(1402, 5, 28)",2023-08-19,"(1445, 2, 3)",امرداد سالروز وقایع ۲۸ و برکناری دکتر محمد مصدق,امرداد سالروز وقایع ۲۸ و برکناری دکتر محمد مصدق,j
1730,"(1402, 5, 28)",2023-08-19,"(1445, 2, 3)",امرداد سالروز فاجعه آتش زدن سینما رکس آبادان,امرداد سالروز فاجعه آتش زدن سینما رکس آبادان,j
1731,"(1402, 5, 28)",2023-08-19,"(1445, 2, 3)",امرداد روز جهانی عکاسی [۱۹ august],امرداد روز جهانی عکاسی,g
1732,"(1402, 4, 1)",2023-06-22,"(1444, 12, 4)",جشن آب پاشونک، جشن آغاز تابستان,جشن آب پاشونک، جشن آغاز تابستان,j
1733,"(1402, 4, 1)",2023-06-22,"(1444, 12, 4)",روز اصناف,روز اصناف,j
1734,"(1402, 4, 4)",2023-06-25,"(1444, 12, 7)",شهادت امام محمد باقر علیه السلام [٧ ذوالحجه],شهادت امام محمد باقر علیه السلام,h
1735,"(1402, 4, 5)",2023-06-26,"(1444, 12, 8)",روز جهانی مبارزه با مواد مخدر [۲۶ june],روز جهانی مبارزه با مواد مخدر,g
1736,"(1402, 4, 6)",2023-06-27,"(1444, 12, 9)",روز عرفه [٩ ذوالحجه],روز عرفه,h
1737,"(1402, 4, 7)",2023-06-28,"(1444, 12, 10)",انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و ۷۲ نفر از اعضای حزب؛ روز قوه قضاییه,انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و ۷۲ نفر از اعضای حزب؛ روز قوه قضاییه,j
1738,"(1402, 4, 7)",2023-06-28,"(1444, 12, 10)",عید سعید قربان [١٠ ذوالحجه],عید سعید قربان,h
1739,"(1402, 4, 8)",2023-06-29,"(1444, 12, 11)",روز مبارزه با سلاح‌های شیمیایی و میکروبی,روز مبارزه با سلاح‌های شیمیایی و میکروبی,j
1740,"(1402, 4, 10)",2023-07-01,"(1444, 12, 13)",روز صنعت و معدن,روز صنعت و معدن,j
1741,"(1402, 4, 12)",2023-07-03,"(1444, 12, 15)",ولادت امام علی النقی الهادی علیه السلام [١٥ ذوالحجه],ولادت امام علی النقی الهادی علیه السلام,h
1742,"(1402, 4, 12)",2023-07-03,"(1444, 12, 15)",شلیک به پرواز ۶۵۵ ایران ایر توسط ناو وینسنس,شلیک به پرواز ۶۵۵ ایران ایر توسط ناو وینسنس,j
1743,"(1402, 4, 13)",2023-07-04,"(1444, 12, 16)",روز، جشن تیرگان,روز، جشن تیرگان,j
1744,"(1402, 4, 14)",2023-07-05,"(1444, 12, 17)",روز قلم,روز قلم,j
1745,"(1402, 4, 15)",2023-07-06,"(1444, 12, 18)",جشن خام خواری,جشن خام خواری,j
1746,"(1402, 4, 15)",2023-07-06,"(1444, 12, 18)",عید سعید غدیر خم [١٨ ذوالحجه],عید سعید غدیر خم,h
1747,"(1402, 4, 17)",2023-07-08,"(1444, 12, 20)",ولادت امام موسی کاظم علیه السلام [٢٠ ذوالحجه],ولادت امام موسی کاظم علیه السلام,h
1748,"(1402, 4, 25)",2023-07-16,"(1444, 12, 28)",روز بهزیستی و تامین اجتماعی,روز بهزیستی و تامین اجتماعی,j
1749,"(1402, 4, 27)",2023-07-18,"(1444, 12, 30)",اعلام پذیرش قطعنامه ۵۹۸ شورای امنیت از سوی ایران,اعلام پذیرش قطعنامه ۵۹۸ شورای امنیت از سوی ایران,j
1750,"(1402, 3, 1)",2023-05-22,"(1444, 11, 2)",روز بهره وری و بهینه سازی مصرف,روز بهره وری و بهینه سازی مصرف,j
1751,"(1402, 3, 1)",2023-05-22,"(1444, 11, 2)",روز بزرگداشت ملاصدرا,روز بزرگداشت ملاصدرا,j
1752,"(1402, 3, 3)",2023-05-24,"(1444, 11, 4)",فتح خرمشهر در عملیات بیت المقدس و روز مقاومت، ایثار و پیروزی,فتح خرمشهر در عملیات بیت المقدس و روز مقاومت، ایثار و پیروزی,j
1753,"(1402, 3, 4)",2023-05-25,"(1444, 11, 5)",روز دزفول، روز مقاومت و پایداری,روز دزفول، روز مقاومت و پایداری,j
1754,"(1402, 3, 6)",2023-05-27,"(1444, 11, 7)",روز، جشن خردادگان,روز، جشن خردادگان,j
1755,"(1402, 3, 10)",2023-05-31,"(1444, 11, 11)",ولادت امام رضا علیه السلام [١١ ذوالقعده],ولادت امام رضا علیه السلام,h
1756,"(1402, 3, 14)",2023-06-04,"(1444, 11, 15)",رحلت حضرت امام خمینی,رحلت حضرت امام خمینی,j
