,j_d,g_d,h_d,events,event,calender_type
588,"(1397, 6, 4)",2018-08-26,"(1439, 12, 15)",روز کارمند,روز کارمند,j
589,"(1397, 6, 5)",2018-08-27,"(1439, 12, 16)",روز بزرگداشت محمدبن زکریای رازی و روز داروساز,روز بزرگداشت محمدبن زکریای رازی و روز داروساز,j
590,"(1397, 6, 5)",2018-08-27,"(1439, 12, 16)",ولادت امام علی النقی الهادی علیه السلام [١٥ ذوالحجه],ولادت امام علی النقی الهادی علیه السلام,h
591,"(1397, 6, 8)",2018-08-30,"(1439, 12, 19)",انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,j
592,"(1397, 6, 8)",2018-08-30,"(1439, 12, 19)",عید سعید غدیر خم [١٨ ذوالحجه],عید سعید غدیر خم,h
593,"(1397, 6, 10)",2018-09-01,"(1439, 12, 21)",ولادت امام موسی کاظم علیه السلام [٢٠ ذوالحجه],ولادت امام موسی کاظم علیه السلام,h
594,"(1397, 6, 11)",2018-09-02,"(1439, 12, 22)",روزصنعت چاپ,روزصنعت چاپ,j
595,"(1397, 6, 13)",2018-09-04,"(1439, 12, 24)",روز بزرگداشت ابوریحان بیرونی,روز بزرگداشت ابوریحان بیرونی,j
596,"(1397, 6, 13)",2018-09-04,"(1439, 12, 24)",روز تعاون,روز تعاون,j
597,"(1397, 6, 17)",2018-09-08,"(1439, 12, 28)",قیام ۱۷,قیام ۱۷,j
598,"(1397, 6, 19)",2018-09-10,"(1439, 12, 30)",درگذشت آیت الله سید محمود طالقانی,درگذشت آیت الله سید محمود طالقانی,j
599,"(1397, 6, 19)",2018-09-10,"(1439, 12, 30)",روز جهانی پیشگیری از خودکشی [۱۰ september],روز جهانی پیشگیری از خودکشی,g
600,"(1397, 6, 20)",2018-09-11,"(1440, 1, 1)",حمله به برج‌های دوقلوی مرکز تجارت جهانی [۱۱ september],حمله به برج‌های دوقلوی مرکز تجارت جهانی,g
601,"(1397, 6, 21)",2018-09-12,"(1440, 1, 2)",روز سینما,روز سینما,j
602,"(1397, 6, 21)",2018-09-12,"(1440, 1, 2)",روز گرامیداشت برنامه نویسان [۱۲ september],روز گرامیداشت برنامه نویسان,g
603,"(1397, 6, 27)",2018-09-18,"(1440, 1, 8)",روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار,روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار,j
604,"(1397, 6, 28)",2018-09-19,"(1440, 1, 9)",تاسوعای حسینی [٩ محرم],تاسوعای حسینی,h
605,"(1397, 6, 29)",2018-09-20,"(1440, 1, 10)",عاشورای حسینی [١٠ محرم],عاشورای حسینی,h
606,"(1397, 6, 30)",2018-09-21,"(1440, 1, 11)",روز گفتگوی تمدنها,روز گفتگوی تمدنها,j
607,"(1397, 6, 30)",2018-09-21,"(1440, 1, 11)",روز جهانی صلح [۲۱ september],روز جهانی صلح,g
608,"(1397, 6, 31)",2018-09-22,"(1440, 1, 12)",آغاز هفته دفاع مقدس,آغاز هفته دفاع مقدس,j
609,"(1397, 6, 31)",2018-09-22,"(1440, 1, 12)",شهادت امام زین العابدین علیه السلام [١٢ محرم],شهادت امام زین العابدین علیه السلام,h
610,"(1397, 7, 1)",2018-09-23,"(1440, 1, 13)",آغاز حمله مغول به ایران در پاییز ۵۹۸ خورشیدی,آغاز حمله مغول به ایران در پاییز ۵۹۸ خورشیدی,j
611,"(1397, 7, 5)",2018-09-27,"(1440, 1, 17)",روز جهانی جهانگردی [۲۷ september],روز جهانی جهانگردی,g
612,"(1397, 7, 7)",2018-09-29,"(1440, 1, 19)",روز آتش نشانی و ایمنی,روز آتش نشانی و ایمنی,j
613,"(1397, 7, 7)",2018-09-29,"(1440, 1, 19)",سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال ۱۳۶۰,سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال ۱۳۶۰,j
614,"(1397, 7, 8)",2018-09-30,"(1440, 1, 20)",روزبزرگداشت مولوی,روزبزرگداشت مولوی,j
615,"(1397, 7, 8)",2018-09-30,"(1440, 1, 20)",روز جهانی ناشنوایان [۳۰ september],روز جهانی ناشنوایان,g
